NAMESPACE     NAME                                                                         STATUS    VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS             AGE
backups       leeward-backups                                                              Bound     pvc-c0d1382d-dc6c-49a9-955c-5a355656a0db   2Ti        RWX            cephfs-hdd               128d
backups       syncthing-config                                                             Bound     pvc-763e15f8-51a0-43db-bfab-51ba2fe3dfd7   10Gi       RWX            cephfs-hdd               128d
blockchain    eth-holesky-charon                                                           Bound     pvc-c59fe0cf-2ea7-4b01-a267-ea90af0a55e1   20Gi       RWO            ceph-block-hdd           16d
blockchain    mainnet-geth                                                                 Bound     pvc-39171eef-ec26-4ed6-b839-c1817b14154a   3Ti        RWO            ceph-block-nvme-norepl   35d
blockchain    obol-charon                                                                  Bound     pvc-1c8d743f-c1f4-44d4-b090-b95ebf865e24   20Gi       RWO            ceph-block-hdd           25d
home          esphome-config-v1                                                            Bound     pvc-81968430-527c-40d0-8332-379ec94297d2   5Gi        RWO            ceph-block-nvme-norepl   186d
home          frigate-config-v1                                                            Pending                                                                        ceph-block-nvme-norepl   15d
home          frigate-media-v1                                                             Bound     pvc-024bf114-a346-4292-8fbe-673ff29e0024   1Ti        RWO            ceph-block-hdd           15d
home          home-assistant-config-v1                                                     Bound     pvc-b7b26b2a-24ef-467c-b4f3-5b31e0fd429d   5Gi        RWO            ceph-block-nvme-norepl   186d
home          mosquitto-config-v1                                                          Bound     pvc-987bfa04-12da-408a-95ca-cf8fd3921329   100Mi      RWO            ceph-block-nvme-norepl   186d
home          recipes-data-recipes-postgresql-0                                            Bound     pvc-53caa55a-f0e6-478c-83ab-572b005c0e30   2Gi        RWO            ceph-block-nvme-norepl   42d
home          recipes-media                                                                Bound     pvc-f31130dc-aff1-40b1-b180-5df1c8c262b7   10Gi       RWO            ceph-block-nvme-norepl   186d
home          recipes-media-restore-ctrl                                                   Bound     pvc-772671ab-3689-4484-976c-e2722aec86c3   3Gi        RWO            ceph-block-nvme-norepl   153d
home          recipes-static                                                               Bound     pvc-bd2cac39-effe-4cae-9ad2-afd604fa6216   10Gi       RWO            ceph-block-nvme-norepl   186d
home          volsync-restore-media-cache                                                  Bound     pvc-ebd63634-a330-4f93-93ab-0e68b2fcaf97   1Gi        RWO            ceph-block-nvme-norepl   153d
